SPBC16H5.08c,SPBC16H5.08c
POLQ,POLQ
Pol theta,mus308
mus-308,mus308
CG10289,CG10289
DmelCG10289,CG10289
PFK5,PFK5
F14M13.12,PFK5
F14M13_12,PFK5
phosphofructokinase 5,PFK5
OAF3,CDC14
AT1G75580,AT1G75580
F10A5.21,AT1G75580
F10A5_21,AT1G75580
CG9010,CG9010
DmelCG9010,CG9010
anon-WO0140519.132,CG9010
PF14_0059,PF14_0059
gspF,gspF
L000001895,SIR2
NAD-dependent histone deacetylase SIR2,SIR2
FLA8,FLA8
AGP8,FLA8
ARABINOGALACTAN PROTEIN 8,FLA8
F4L23.2,FLA8
FASCICLIN-like arabinogalactan protein 8,FLA8
DNAAF1,DNAAF1
CILD13,DNAAF1
LRRC50,DNAAF1
ODA7,DNAAF1
CELE_Y51H4A.25,CELE_Y51H4A.25
EMB2765,EMB2765
EMBRYO DEFECTIVE 2765,EMB2765
T6A23.3,EMB2765
T6A23_3,EMB2765
Gm4705,Gm4705
RPH3AL,RPH3AL
NOC2,NOC2
AT4G25550,AT4G25550
M7J2.80,AT4G25550
M7J2_80,AT4G25550
Os03g0811900,Os03g0811900
Y38E10A.14,Y38E10A.14
Y60A3A.25,Y60A3A.25
CELE_Y60A3A.25,Y60A3A.25
php4,php4
SPBP16F5.09c,php4
AT2G32550,AT2G32550
T26B15.11,AT2G32550
T26B15_11,AT2G32550
CALB2,CALB2
DHRS4L1,DHRS4L1
SDR25C4,DHRS4L1
CG31102,CG31102
CG10634,CG31098
DmelCG31102,CG31102
Pp2A-29B,Pp2A-29B
29B,Pp2A-29B
A/PR65,Pp2A-29B
CG13383,CSN8
CG17291,Pp2A-29B
CG33297,CSN8
DPR65,Pp2A-29B
DmelCG17291,Pp2A-29B
PP2A 29B,Pp2A-29B
PP2A A,Pp2A-29B
PP2A-A,Pp2A-29B
PP2A[A],Pp2A-29B
Pp2A29B,Pp2A-29B
dPP2A A,Pp2A-29B
PP2-B7,PP2-B7
AtPP2-B7,PP2-B7
T16F16.11,PP2-B7
T16F16_11,PP2-B7
phloem protein 2-B7,PP2-B7
yjjM,yjjM
Nav2,Nav2
5330421F07Rik,Nav2
AU067780,Nav2
BQ960892,Nav2
RAINB2,Nav2
Unc53H2,Nav2
mKIAA3015,Nav2
thiD,thiD
COL12A1,COL12A1
BA209D8.1,COL12A1
COL12A1L,COL12A1
DJ234P15.1,COL12A1
Cttnbp2nl,Cttnbp2nl
AA552995,Cttnbp2nl
AA589392,Cttnbp2nl
AU018624,Cttnbp2nl
BC003236,Cttnbp2nl
mKIAA1433,Cttnbp2nl
PFL0530c,PFL0530c
ZNF737,ZNF737
ZNF102,ZNF737
AT1G78850,AT1G78850
F9K20.10,AT1G78850
F9K20_10,AT1G78850
OXSM,OXSM
FASN2D,OXSM
KASI,OXSM
Sipa1l3,Sipa1l3
2610511M17Rik,Sipa1l3
SPBC1778.03c,SPBC1778.03c
WDR26,CG7611
CDW2,WDR26
tauB,tauB
CG5913,CG5913
DmelCG5913,CG5913
mat-3,mat-3
CELE_F10C5.1,mat-3
apc-8,mat-3
cdc-23,mat-3
pod-4,mat-3
vex-2,mat-3
SOX3,SOX3
GHDX,SOX3
MRGH,SOX3
PHPX,SOX3
SOXB,SOX3
CYCB1;3,CYCB1;3
CYC2,CYC2
CYCLIN 2,CYCB1;3
CYCLIN B1;3,CYCB1;3
med31,med31
sep10,med31
soh1,med31
cpn-1,cpn-1
CELE_F43G9.9,cpn-1
orc6,orc6
SPBC2D10.02,orc6
SH2D1B,SH2D1B
EAT2,SH2D1B
RPGRIP1,RPGRIP1
CORD13,RPGRIP1
LCA6,RPGRIP1
RGI1,RGI1
RGRIP,RPGRIP1
RPGRIP,RPGRIP1
RPGRIP1d,RPGRIP1
Nkx3-1,Nkx3-1
Bax,Bax
Nkx-3.1,Nkx3-1
bagpipe,Nkx3-1
AIM22,AIM22
LIP3,AIM22
RRG3,AIM22
putative lipoate--protein ligase,AIM22
Ap3s1,Ap3s1
GORASP2,GORASP2
GOLPH6,GORASP2
GRASP55,Gorasp2
GRS2,GRS2
p59,Spats2
SLC16A2,SLC16A2
AHDS,SLC16A2
DXS128,SLC16A2
DXS128E,SLC16A2
MCT 7,SLC16A2
MCT 8,SLC16A2
MCT8,SLC16A2
MRX22,SLC16A2
XPCT,SLC16A2
kug,kug
CG7749,kug
CT23445,kug
Cad76E,kug
DCad76E,kug
DmelCG7749,kug
RE-A,kug
fat2,kug
kugel,kug
AT1G01630,AT1G01630
T1N6.1,AT1G01630
T1N6_1,AT1G01630
treB,treB
VPS37-1,VPS37-1
KRE9,KRE9
L000000916,KRE9
DBP3,DBP3
L000000494,DBP3
RNA-dependent ATPase DBP3,DBP3
ptsN,ptsN
CG8568,CG8568
DmelCG8568,CG8568
sbt-1,sbt-1
CELE_T03D8.3,sbt-1
CHUK,CHUK
IKK-alpha,CHUK
IKKA,CHUK
TCF16,CHUK
YPP1,YPP1
EMP47,EMP47
L000002804,EMP47
YJL225C,YJL225C
Pigq,Pigq
Gpi1,Gpi
Gpi1h,Pigq
Gpi1p,Pigq
Gpih,Pigq
Fap,Fap
NHSL1,NHSL1
C6orf63,NHSL1
RAP2.9,RAP2.9
DEAR5,RAP2.9
DREB AND EAR MOTIF PROTEIN 5,RAP2.9
related to AP2 9,RAP2.9
CG31198,CG31198
CG5845,CG31198
DmelCG31198,CG31198
anon-WO0140519.12,fabp
anon-WO0140519.24,CG31198
Rsph14,Rsph14
4933431K05Rik,Rsph14
Rtdr1,Rsph14
YJL027C,YJL027C
CG5370,Dcp-1
DmelCG5370,Dcp-1
"l(2)01862",Dcp-1
"l(2)02132",Dcp-1
mRNA-cap,mRNA-cap
CG1810,mRNA-cap
DmelCG1810,mRNA-cap
SUMO2P1,SUMO2P1
SMT3Bp,SUMO2P1
SMT3H2P,SUMO2P1
SUMO2P,SUMO2P1
dJ271M21,SUMO2P1
RhoGAP68F,RhoGAP68F
CG 6811,RhoGAP68F
CG6811,RhoGAP68F
DmelCG6811,RhoGAP68F
Gpr158,Gpr158
5330427M13Rik,Gpr158
mKIAA1136,Gpr158
C12orf45,C12orf45
atp-3,atp-3
F29G6.2,F29G6.2
Atg101,Atg101
CG7053,Atg101
DmelCG7053,Atg101
Tsta3,Tsta3
AI256181,Tsta3
Tstap35b,Tsta3
TXNDC12,TXNDC12
ERP16,TXNDC12
ERP18,TXNDC12
ERP19,TXNDC12
PDIA16,TXNDC12
TLP19,TXNDC12
hAG-1,TXNDC12
hTLP19,TXNDC12
xylG,xylG
ECK3556,xylG
JW3539,xylG
pnuC,pnuC
AN7608.2,AN7608.2
SUE1,SUE1
Aacs,Aacs
2210408B16Rik,Aacs
SUR5,Aacs
AT1G07840,AT1G07840
F24B9.6,AT1G07840
F24B9_6,AT1G07840
Alox15,Alox15
12-LOX,ALOX12
15-LOX,Alox15
Alox12l,Alox15
CG3815,CG3815
DmelCG3815,CG3815
PF1,PHF12
F14L17.4,PKS2
F14L17_4,PKS2
phytochrome kinase substrate 2,PKS2
NDF6,NDF6
F6A14.16,NDF6
F6A14_16,NDF6
NDH dependent flow 6,NDF6
ZNF562,ZNF562
CG12056,CG12056
DmelCG12056,CG12056
rps-29,rps-29
CELE_B0412.4,rps-29
homer2,homer2
CMD1GG,SDHA
FP,PTGFR
PGL5,SDHA
SDHF,Sdha
ycjM,ycjM
STSN1,STSN1
SN1,SLC38A3
TCHH,TCHH
THH,TCHH
THL,TCHH
TRHY,TCHH
Vdac3,Vdac3
AT5G55620,AT5G55620
MDF20.6,AT5G55620
MDF20_6,AT5G55620
ZNF821,ZNF821
HIPK1,HIPK1
Nbak2,HIPK1
CG15651,CG15651
DmelCG15651,CG15651
Hug,Hug
CG6371,Hug
DmelCG6371,Hug
Drm-MT2,Hug
Drm-PK-2,Hug
HUGgamma,Hug
Hug-gamma,Hug
Hugin-PK-2,Hug
PK-2,Hug
hug gamma,Hug
hug-1,Hug
hug-2,Hug
hug-PK,Hug
hugg,Hug
hugin,Hug
pyrokinin/PBAN-like,Capa
tsp-8,tsp-8
CELE_F33C8.3,tsp-8
GLTPD2,GLTPD2
LCR60,LCR60
low-molecular-weight cysteine-rich 60,LCR60
ypjB,ypjB
Ptcd1,Ptcd1
1110069M14Rik,Ptcd1
Rrp4,Rrp4
CG3931,Rrp4
DmelCG3931,Rrp4
dRrp4,Rrp4
CG9281,CG9281
"BEST:LD38280",CG9281
DmelCG9281,CG9281
3110002H16Rik,3110002H16Rik
2400010D15Rik,3110002H16Rik
Mic-1,C18orf8
Mic1,3110002H16Rik
NRT2.6,NRT2.6
ARABIDOPSIS THALIANA HIGH AFFINITY NITRATE TRANSPORTER 2.6,NRT2.6
ATNRT2.6,NRT2.6
high affinity nitrate transporter 2.6,NRT2.6
Mylip,Mylip
9430057C20Rik,Mylip
Mir,hh
Gstm2,Gstm2
Gstb-2,Gstm2
Gstb2,Gstm2
CG3295,CG3295
DmelCG3295,CG3295
Zhx1,Zhx1
AT3G29310,AT3G29310
nad9,nad9
TRPV3,TRPV3
OLMS,TRPV3
VRL3,TRPV3
nrm1,nrm1
RANGAP1,RANGAP1
Fug1,Rangap1
RANGAP,RANGAP1
SAH1,SAH1
L000002989,SAH1
adenosylhomocysteinase,SAH1
C5_05270C_A,C5_05270C_A
C5_05270C,C5_05270C_A
C5_05270C_B,C5_05270C_A
CA4787,C5_05270C_A
CAWG_04893,C5_05270C_A
CaO19.11504,C5_05270C_A
CaO19.4021,C5_05270C_A
CaO6.7434,C5_05270C_A
Contig4-3094_0029,C5_05270C_A
IPF23277.1,C5_05270C_A
IPF3364,C5_05270C_A
IPF3364.1,C5_05270C_A
orf19.11504,C5_05270C_A
orf19.4021,C5_05270C_A
orf6.7434,C5_05270C_A
hrdl-1,hrdl-1
CELE_F26E4.11,hrdl-1
SLC6A8,SLC6A8
CCDS1,SLC6A8
SPGB,SPGB
DSTN,DSTN
ACTDP,DSTN
HEL32,DSTN
bA462D18.2,DSTN
CG8677,CG8677
"BEST:LD14959",CG8677
"BEST:LD19244",CG8677
DmelCG8677,CG8677
LD14959,CG8677
dRsf-1,CG8677
Cfh,Cfh
Mud-1,Cfh
NOM,Cfh
Sas-1,Cfh
Sas1,Cfh
dacC,dacC
Ogfr,Ogfr
2010013E17Rik,Ogfr
chs2,chs2
SPBC1734.17,chs2
CGB5,CGB
HCG,CGA
Fbln2,Fbln2
5730577E14Rik,Fbln2
FIBL-2,Fbln2
Lztr1,Lztr1
1200003E21Rik,Lztr1
AI591627,Lztr1
AW550890,Lztr1
MAL13P1.344,MAL13P1.344
CG11382,CG11382
DmelCG11382,CG11382
"EG:BACR42I17.10",CG11382
ymgA,ymgA
TwdlD,TwdlD
CG14243,TwdlD
DmelCG14243,TwdlD
rpl36a,rpl42
SFH5,SFH5
LNPEP,LNPEP
P-LAP,LNPEP
AT1G21460,AT1G21460
F24J8.9,AT1G21460
F24J8_9,AT1G21460
Dctn5,Dctn5
4930427E12Rik,Dctn5
C78178,Dctn5
b2b315Clo,Dctn5
LINC01194,LINC01194
CT49,LINC01194
TAG,LINC01194
F32D8.4,F32D8.4
Sash1,Sash1
1100001C18Rik,Sash1
2500002E12Rik,Sash1
A330076K04Rik,Sash1
mKIAA0790,Sash1
ZC412.3,ZC412.3
Fam160a2,Fam160a2
4632419K20Rik,Fam160a2
6530415H11Rik,Fam160a2
FHIP,Fam160a2
Maged1,Maged1
Nrage,Maged1
mag-1,mag-1
CELE_R09B3.5,mag-1
NitFhit,nft-1
CG7067,NitFhit
DmelCG7067,NitFhit
TCERG1,TCERG1
CA150,TCERG1
TAF2S,TCERG1
Urn1,TCERG1
RBMX,RBMX
HNRNPG,RBMX
RBMXRT,RBMX
RNMX,RBMX
Pfkfb2,Pfkfb2
4930568D07Rik,Pfkfb2
CG4168,CG4168
"BG:DS03192.2",CG4168
DmelCG4168,CG4168
MCM2,MCM7
BM28,Mcm2
CCNL1,CCNL1
CDCL1,Mcm2
D3S3194,MCM2
MITOTIN,MCM2
cdc19,mcm2
Csmd3,Csmd3
4930500N14Rik,Csmd3
mKIAA1894,Csmd3
F35H10.10,F35H10.10
nhr-2,nhr-2
CELE_C32F10.6,nhr-2
crf-2,nhr-2
NUP210L,NUP210L
H3F3C,H3F3C
H3.5,H3F3C
Zfp780b,Zfp780b
Dnajc3,Dnajc3
AA408985,Dnajc3
AU067833,Dnajc3
Dnajc3a,Dnajc3
Dnajc3b,Dnajc3
Prkri,Dnajc3
mp58,PRA1
p58IPK,Dnajc3
AT1G20870,AT1G20870
F9H16.15,AT1G20870
F9H16_15,AT1G20870
CBY1,CBY1
C22orf2,CBY1
HS508I15A,CBY1
PGEA1,CBY1
PIGEA-14,CBY1
PIGEA14,CBY1
CLCNKA,CLCNKA
CLCK1,CLCNKA
ClC-K1,CLCNKA
hClC-Ka,CLCNKA
Marcal1,Marcal1
CG3753,Marcal1
DmelCG3753,Marcal1
Marca1,Marcal1
YJU2,YJU2
CWC16,YJU2
L000002513,YJU2
Fim,Fim
CG8649,Fim
DmelCG8649,Fim
CG9996,CG9996
DmelCG9996,CG9996
2410015M20Rik,2410015M20Rik
QIL1,C19orf70
Utp18,Utp18
6230425C22Rik,Utp18
6430513M13,Utp18
Wdr50,Utp18
MIDN,MIDN
CRHR1,CRHR1
CRF-R,CRHR1
CRF-R-1,CRHR1
CRF-R1,CRHR1
CRFR-1,CRHR1
CRFR1,CRHR1
CRH-R-1,CRHR1
CRH-R1,CRHR1
CRHR,CRHR1
CRHR1L,CRHR1
DNAJC15,DNAJC15
DNAJD1,DNAJC15
HSD18,DNAJC15
MCJ,DNAJC15
SFPQ,SFPQ
POMP100,SFPQ
PPP1R140,SFPQ
eef-1A.2,eef-1A.2
BGLF5,BGLF5
Hdac3,Hdac3
CG2128,Hdac3
DHDAC3,Hdac3
DmHDAC3,Hdac3
DmelCG2128,Hdac3
Dromel_CG2128_FBtr0078767_hdac3_mORF,Hdac3
Hdac 3,Hdac3
dmHDA402,Hdac3
Foxq1,Foxq1
HFH-1,Foxq1
Hfh1,Foxq1
Hfh1l,Foxq1
PFF0535c,PFF0535c
ST8SIA1,ST8SIA1
GD3S,ST8SIA1
SIAT8,ST8SIA1
SIAT8-A,ST8SIA1
SIAT8A,ST8SIA1
ST8SiaI,ST8SIA1
Syce2,Syce2
1700013H19Rik,Syce2
AA407907,Syce2
Cesc1,Syce2
F25D1.3,F25D1.3
CELE_F25D1.3,F25D1.3
mdt-1.2,mdt-1.2
CELE_T23C6.1,mdt-1.2
PRKAR1A,PRKAR1A
ACRDYS1,PRKAR1A
ADOHR,PRKAR1A
CNC,PRKAR1A
CNC1,SSN8
PKR1,PKR1
PPNAD1,PRKAR1A
PRKAR1,PRKAR1B
TSE1,PRKAR1A
Ccm2,Ccm2
BC029157,Ccm2
Mllt4,Mllt4
5033403D15Rik,Mllt4
AF6,MLLT4
Af-6,Mllt4
Afadin,Mllt4
Gm314,Mllt4
I-afadin,Mllt4
S-afadin,Mllt4
"l(2)35Cc","l(2)35Cc"
"BG:DS07295.5","l(2)35Cc"
CG15266,"l(2)35Cc"
DmelCG15266,"l(2)35Cc"
br50,"l(2)35Cc"
"l(2)br50","l(2)35Cc"
l35Cc,"l(2)35Cc"
SLC6A19,SLC6A19
B0AT1,SLC6A19
HND,SLC6A19
Os01g0598200,Os01g0598200
Olig2,Olig2
AI604895,Olig2
Bhlhb1,Olig2
Olg-2,Olig2
Oligo2,Olig2
RK17,Olig2
bHLHe19,OLIG2
CG13309,CG13309
CT32604,CG13309
DmelCG13309,CG13309
SHW1,SHW1
SHORT HYPOCOTYL IN WHITE LIGHT1,SHW1
MCM3AP-AS1,MCM3AP-AS1
C21orf85,MCM3AP-AS1
MCM3AP-AS,MCM3AP-AS1
MCM3APAS,MCM3AP-AS1
MCM3APASB,MCM3AP-AS1
NCRNA00031,MCM3AP-AS1
AT2G31220,AT2G31220
F16D14.6,AT2G31220
F16D14_6,AT2G31220
ccch-3,ccch-3
CELE_W05B10.2,ccch-3
Brd,Brd
Brd-C,Brd
CG3096,Brd
DmelCG3096,Brd
tubg1,tubg1
Tubg2,Tubg2
xgam,tubg1
yidR,yidR
hic2,hic2
hrg22,hic2
zbtb30,hic2
znf907,hic2
YML054C-A,YML054C-A
npp-23,npp-23
gro,gro
"BEST:GM01575",gro
"BEST:LD15161",gro
BcDNA.LD33829,gro
"BcDNA:LD33829",gro
CG8384,gro
DGro,gro
DmelCG8384,gro
"E(spl)-WD",gro
"E(spl)[2]",gro
"E(spl)gro",gro
"E(spl)m9/m10",gro
En-spl,gro
Grg/TLE,gro
Groucho,gro
anon-WO0118547.385,gro
dAES1,gro
dAES2,gro
"l(3)gro",gro
m10,gro
m9,gro
m9-m10,gro
m9/10,gro
m9/m10,gro
AT1G05860,AT1G05860
T20M3.13,AT1G05860
T20M3_13,AT1G05860
AT2G25070,AT2G25070
F13D4.1,AT2G25070
F52C9.1,F52C9.1
CG16863,CG16863
"BG:DS00797.6",CG16863
DS00797.6,CG16863
DmelCG16863,CG16863
4732456N10Rik,4732456N10Rik
Trabd,Trabd
5730502D15Rik,Trabd
AL023039,Trabd
amx-1,amx-1
CELE_R13G10.2,amx-1
AMMECR1L,AMMECR1L
kdgK,kdgK
ECK3511,kdgK
JW5668,kdgK
yhjI,kdgK
ANNAT4,ANNAT4
ANNEXIN 4,ANNAT4
T6A23.5,ANNAT4
T6A23_5,ANNAT4
CG10674,CG10674
DmelCG10674,CG10674
Psen1,Psen1
Ad3h,Psen1
PS-1,PSEN1
S182,PSEN1
PRM3,PRM3
pheromone-regulated protein PRM3,PRM3
TRAIP,TRAIP
RNF206,TRAIP
TRIP,LRRFIP1
Shank3,Shank3
Prosap2,Shank3
Zfp53,Zfp53
D030067O06Rik,Zfp53
KRAZ1,Zfp53
Zfp-53,Zfp53
Zfp118,Zfp53
zfas8,Zfp53
SPBC887.08,SPBC887.08
eef1b2,eef1b2
eef1b,eef1b2
ef1b,eef1b2
"wu:fj06d02",eef1b2
CAPN13,CAPN13
accC,accC
mRpS23,mRpS23
CG31842,mRpS23
DmelCG31842,mRpS23
"l(2)SH0272",mRpS23
"l(2)SH2 0272",mRpS23
yap,yap
Matr3,Matr3
1110061A14Rik,Matr3
2810017I02Rik,Matr3
AI841759,Matr3
AW555618,Matr3
D030046F20Rik,Matr3
mKIAA0723,Matr3
Os10g0417600,Os10g0417600
YDR261C-C,YDR261C-C
TFEC,TFEC
TCFEC,TFEC
TFE-C,TFEC
TFEC-L,TFEC
TFECL,TFEC
bHLHe34,Tfec
hTFEC-L,TFEC
Npm1,Npm1
B23,NPM1
NO38,Npm1
Npm,Npm1
ifc,ifc
CG9078,ifc
DES-1,ifc
DmelCG9078,ifc
des,notch1a
des1,ifc
"l(2)26Ab",ifc
"l(2)gdh-2",ifc
"ms(2)04875",ifc
BGN,BGN
DSPG1,BGN
PG-S1,BGN
PGI,GPI
SLRR1A,BGN
TRMT44,TRMT44
C4orf23,TRMT44
METTL19,TRMT44
F44E5.3,F44E5.3
7483,eIF4AIII
CG7483,eIF4AIII
DmRH28,eIF4AIII
DmelCG7483,eIF4AIII
anon-WO0118547.364,eIF4AIII
eIF4A3,eIF4AIII
"l(3)84Fi",eIF4AIII
AT5G05790,AT5G05790
MJJ3.20,AT5G05790
MJJ3_20,AT5G05790
ptf1,SelD
UNE6,UNE6
T21P5.24,UNE6
T21P5_24,UNE6
unfertilized embryo sac 6,UNE6
YJL193W,YJL193W
C17H11.5,C17H11.5
PVALB,MB
pvalb1,PVALB
ACT7,ACT7
ACT2,ARP2
MYH9.2,ACT7
MYH9_2,ACT7
actin 2,ACT2
actin 7,ACT7
JRK,JRK
JH8,JRK
jerky,JRK
ywhaz-a,ywhaz-a
14-3-3z,Ywhaz
14-3-3zeta,ywhaz-b
ywhaz,ywhaz-b
ywhaza,ywhaz-a
CG7341,CG7341
DmelCG7341,CG7341
SNZ2,SNZ2
L000002576,SNZ2
pyridoxine biosynthesis protein SNZ2,SNZ2
ydjJ,ydjJ
TRIM69,TRIM69
HSD-34,TRIM69
HSD34,TRIM69
RNF36,TRIM69
DL3,DL3
ADL3,DL3
DRP2B,DL3
DYNAMIN-LIKE 3,DL3
Dynamin related protein 2B,DL3
T30E16.17,DL3
T30E16_17,DL3
Arr1,Sag
3H10,Arr1
ArrA,Arr1
CG5711,Arr1
DA,Arr1
DAI,ZBP1
DS-Ag,Arr1
DmArr1,Arr1
Dmarrestin,Arr1
DmelCG5711,Arr1
Dro.-Arr.I,Arr1
FBgn0000120,Arr1
PRII,Arr1
ain1,ain1
Map4k3,Map4k3
C17orf104,C17orf104
Ybx1,Ybx1
1700102N10Rik,Ybx1
C79409,Ybx1
Nsep1,Ybx1
YB-1,YBX1
dbpB,Ybx1
mYB-1a,Ybx1
AT5G59105,AT5G59105
SIR4,B73
ASD1,SIR4
L000001897,SIR4
STE9,SIR4
UTH2,SIR4
chromatin-silencing protein SIR4,SIR4
RABA6b,RABA6b
AtRABA6b,RABA6b
RAB GTPase homolog A6B,RABA6b
T10F20.21,RABA6b
DNAH12,DNAH12
DHC3,Dnah12
DLP12,Dnah12
DNAH12L,DNAH12
DNAH7L,DNAH12
DNAHC12,DNAH12
DNAHC3,DNAH12
DNHD2,DNAH12
HDHC3,DNAH12
HL-19,Dnah12
HL19,Dnah12
spn-4,spn-4
CELE_ZC404.8,spn-4
gei-20,spn-4
pip-1,spn-4
tra-4,tra-4
CELE_F53B3.1,tra-4
gpd2,gpd2
cyp-29A2,cyp-29A2
CELE_T19B10.1,cyp-29A2
GPSM1,GPSM1
AGS3,RNASEH2C
CA9,CA9
CAIX,CA9
MN,GYPA
RPL23AA,RPL23AA
ARABIDOPSIS THALIANA RIBOSOMAL PROTEIN L23A,RPL23AA
ATRPL23A,RPL23AA
F12L6.12,RPL23AA
F12L6_12,RPL23AA
RIBOSOMAL PROTEIN L23A,RPL23AA
RPL23A,RPL23A
ribosomal protein L23AA,RPL23AA
INSM1,INSM1
IA-1,Insm1
IA1,INSM1
U2A,U2A
F21M12.14,U2A
F21M12_14,U2A
U2 small nuclear ribonucleoprotein A,U2A
AT2G20270,AT2G20270
F11A3.18,AT2G20270
F11A3_18,AT2G20270
C34B2.5,C34B2.5
MEE39,MEE39
maternal effect embryo arrest 39,MEE39
Hsp81.4,Hsp81.4
AtHsp90.4,Hsp81.4
HEAT SHOCK PROTEIN 81.4,Hsp81.4
HEAT SHOCK PROTEIN 90.4,Hsp81.4
MDA7.4,Hsp81.4
MDA7_4,Hsp81.4
FBXL20,FBXL20
Fbl2,Fbxl20
Fbl20,FBXL20
F53F10.2,F53F10.2
sdiA,sdiA
RPL17-C18orf32,RPL17-C18orf32
srm1,srm1
SPBC12C2.07c,srm1
Fhdc1,Fhdc1
6330505N24Rik,Fhdc1
Gm126,Fhdc1
Eph,Epha1
CG1511,Eph
CT3831,Eph
Dek7,Eph
Deph,Eph
DmelCG1511,Eph
Ek7,Eph
RPTK Dek7,Eph
lincRNA.923,Eph
KIAA1456,KIAA1456
C8orf79,KIAA1456
TRM9L,KIAA1456
WDR36,WDR36
GLC1G,WDR36
TA-WDRP,WDR36
TAWDRP,WDR36
tsx,tsx
PFB0620w,PFB0620w
R05A10.6,R05A10.6
CELE_R05A10.6,R05A10.6
Ilp5,Ilp5
CG33273,Ilp5
DILP,Ilp7
DILP5,Ilp5
Dilp 5,Ilp5
Dilp-5,Ilp5
DmelCG33273,Ilp5
Ilp-5,Ilp5
CCDC23,CCDC23
CG7290,CG7290
DmelCG7290,CG7290
CG4554,CG4554
DmelCG4554,CG4554
GM01751p,CG4554
EXLA1,EXLA1
ATEXLA1,EXLA1
ATEXPL1,EXLA1
ATHEXP BETA 2.1,EXLA1
EXPANSIN L1,EXLA1
EXPL1,EXLA1
expansin-like A1,EXLA1
dpb4,dpb4
CCDC129,CCDC129
CHAF1B,CHAF1B
CAF-IP60,CHAF1B
MPP7,MPP7
CG17883,CG17883
CG40289,CG17883
DmelCG17883,CG17883
CG7172,CG7172
DmelCG7172,CG7172
anon-WO0118547.316,CG7172
sage,sage
CG12952,sage
DmelCG12952,sage
bHLHc7,sage
Maml1,Maml1
AI644666,Maml1
AW743257,Maml1
D930008C07Rik,Maml1
mKIAA0200,Maml1
Pik3c3,Pik3c3
5330434F23Rik,Pik3c3
Vps34,Pik3c3
F22F4.1,F22F4.1
MROH7,MROH7
C1orf175,MROH7
HEATR8,MROH7
Ly6h,Ly6h
fen1-a,fen1-a
fen-1,fen1-a
fen1,rad2
mf1,fen1-a
rad2,rad2
xFEN1a,fen1-a
FAM73A,FAM73A
ING3,ING3
Eaf4,ING3
ING2,ING2
MEAF4,ING3
p47ING3,ING3
TKL2,TKL2
L000002314,TKL2
transketolase TKL2,TKL2
Bola3,Bola3
1810056O20Rik,Bola3
PRR34,PRR34
C22orf26,PRR34
BTR1L,BTR1L
BINDING TO TOMV RNA 1,BTR1L
"BINDING TO TOMV RNA 1S (SHORT FORM)",BTR1L
BTR1,SLC4A11
BTR1S,BTR1L
T19N18.7,BTR1L
"binding to TOMV RNA 1L (long form)",BTR1L
eif3a,eif3a
eif3s10,eif3a
CG4404,CG4404
DmelCG4404,CG4404
AT5G08139,AT5G08139
CG42268,CG42268
CG14170,CG42268
CG32044,CG42268
CG32046,CG42268
CG6740,CG42268
DmelCG42268,CG42268
Dmel_CG32044,CG42268
Dmel_CG32046,CG42268
W03A5.1,W03A5.1
CELE_W03A5.1,W03A5.1
D2030.4,D2030.4
cutl-14,cutl-14
CELE_B0511.5,cutl-14
Os02g0125700,Os02g0125700
F26D2.15,F26D2.15
CELE_F26D2.15,F26D2.15
Act5C,Act5C
A4V404_DROME,Act5C
ACT1_DROME,Act5C
Ac5C,Act5C
Act-5C,Act5C
Act5,Act5C
Actin5C,Act5C
CG4027,Act5C
DmelCG4027,Act5C
M32055,Act5C
T11,CD2
act 5C,Act5C
"anon-EST:fe2D2",Act5C
beta-actin,Actb
beta-actin/Bap47,Act5C
"chrX:5748184..5748304",Act5C
cyt5C,Act5C
"l(1)G0009",Act5C
"l(1)G0010",Act5C
"l(1)G0025",Act5C
"l(1)G0079",Act5C
"l(1)G0117",Act5C
"l(1)G0177",Act5C
"l(1)G0245",Act5C
"l(1)G0330",Act5C
"l(1)G0420",Act5C
"l(1)G0486",Act5C
FOXO1,FOXO1
FKH1,FKH1
FOXO1A,FOXO1
Hdac5,Hdac6
AI426555,Hdac5
Hdac4,Hdac4
mHDA1,Hdac5
mKIAA0600,Hdac5
NUDT18,NUDT18
MTH3,NUDT18
CIDEB,CIDEB
ZIC1,ZIC1
ZIC,Zic1
ZNF201,Zic1
PIK3CA,PIK3CA
CLOVE,PIK3CA
CWS5,PIK3CA
MCM,MUT
MCMTC,PIK3CA
p110-alpha,PIK3CA
GSTA1,GSTA1
GST2,CHST2
GSTA1-1,GSTA1
GTH1,GSTA1
SLC22A4,SLC22A4
OCTN1,SLC22A4
PNCK,PNCK
BSTK3,PNCK
CaMK1b,PNCK
spr-3,spr-3
Arhgef17,Arhgef17
8030463K16,Arhgef17
AI428794,Arhgef17
AW558066,Arhgef17
BC035332,Arhgef17
mKIAA0337,Arhgef17
wis4,wis4
wak1,wis4
wik1,wis4
Galk,Galk1
CG5288,Galk
CT16885,Galk
DmelCG5288,Galk
dGALK,Galk
T09F5.10,T09F5.10
CELE_T09F5.10,T09F5.10
DNAAF2,DNAAF2
C14orf104,DNAAF2
CILD10,DNAAF2
KTU,DNAAF2
PF13,DNAAF2
pbs-7,pbs-7
CELE_F39H11.5,pbs-7
EGD2,EGD2
L000000546,EGD2
L000002606,EGD2
AZF2,ZF2
MMB12.27,ZF2
zinc-finger protein 2,ZF2
